ИНН,Компания,Руководитель,Должность,Email,Телефоны,Сайт,Адрес,Источники,Ошибки
0103001599,"ООО ""МАМРУКО""",Мамруков Руслан Довлетчериевич,ДИРЕКТОР,ooomamruko@mail.ru; ooomamruko@yandex.ru; o@mamruk.ru,+7 (918) 469-93-05,pro.fira.ru,"385421, Респ Адыгея, Кошехабльский р-н, аул Егерухай, ул Школьная, д 73","DaData, Google/Serper",
0105003182,"ЗАО ""МОЛКОМБИНАТ ""АДЫГЕЙСКИЙ""",Сапиев Вячеслав Дольчериевич,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,info@molkom-adyg.ru,,molkom-adyg.ru,"385000, Респ Адыгея, г Майкоп, ул Транспортная, влд 5","DaData, Google/Serper",
0105000819,"ПАО ""ЗАРЕМ""",Богус Руслан Шугаибович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,,,zarem.inni.info,"385000, Респ Адыгея, г Майкоп, ул Шовгенова, д 362",DaData,
0257005755,"ООО ""СПЕКТР""",Ахметшина Снежана Валерьевна,ДИРЕКТОР,strelnikova@strom-ufa.ru,,trudvsem.ru,"452451, Респ Башкортостан, Бирский р-н, г Бирск, ул 8 Марта, д 1Б","DaData, Google/Serper",
0266017771,"АО ""САЛАВАТНЕФТЕМАШ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕФТЕХИМРЕМСТРОЙ""",,2fse@snm.ru,+7 347 637-75-61,e-disclosure.azipi.ru,"453256, Респ Башкортостан, г Салават, ул Молодогвардейцев, зд 26","DaData, Google/Serper",
0267005730,"АО ""БШПУ""",Бондаренко Наталья Сергеевна,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,,,sro.ssrb.info,"453831, Респ Башкортостан, г Сибай, ул Горная, д 4/1",DaData,
0268003140,"АО ""ОБЩЕПИТ""",Каримов Денис Наилевич,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,,,buhonline.ru,"453103, Респ Башкортостан, г Стерлитамак, пр-кт Ленина, влд 69",DaData,
0269001177,"ООО НПП ""БАСЭТ""",Шарипов Рамиль Ильсурович,ДИРЕКТОР,,,klerk.ru,"452607, Респ Башкортостан, г Октябрьский, ул Северная, зд 21А стр 1",DaData,
0269007820,"ОАО ""ТУЙМАЗЫТЕХУГЛЕРОД""",Зиннатуллин Ранис Нурисламович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,,,tztu.ru,"452754, Респ Башкортостан, Туймазинский р-н, г Туймазы, ул Чапаева, зд 81Б стр 1",DaData,
0269018406,"ООО ""КБК""",Смородин Сергей Александрович,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,kbk@tkbk.ru,+7 917 800-38-79,t-kbk.com,"452757, Респ Башкортостан, Туймазинский р-н, г Туймазы, ул Фабричная, зд 1","DaData, Google/Serper",
